# Train        Test        
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.325000     0.366667 
    0.350000     0.400000 
    0.366667     0.400000 
    0.366667     0.400000 
    0.366667     0.400000 
    0.366667     0.400000 
    0.366667     0.400000 
    0.366667     0.400000 
    0.333333     0.366667 
    0.333333     0.366667 
    0.333333     0.366667 
    0.333333     0.366667 
    0.516667     0.700000 
    0.608333     0.700000 
    0.608333     0.700000 
    0.583333     0.666667 
    0.516667     0.666667 
    0.516667     0.666667 
    0.516667     0.666667 
    0.516667     0.666667 
    0.575000     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.591667     0.666667 
    0.583333     0.666667 
    0.583333     0.666667 
    0.583333     0.666667 
    0.558333     0.666667 
    0.541667     0.666667 
    0.525000     0.533333 
    0.466667     0.533333 
    0.458333     0.533333 
    0.491667     0.533333 
    0.491667     0.533333 
    0.483333     0.533333 
    0.483333     0.533333 
    0.500000     0.533333 
    0.483333     0.700000 
    0.658333     0.700000 
    0.666667     0.700000 
    0.658333     0.700000 
    0.658333     0.700000 
    0.658333     0.700000 
    0.733333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.825000     0.800000 
    0.825000     0.766667 
    0.800000     0.800000 
    0.841667     0.800000 
    0.841667     0.800000 
    0.833333     0.800000 
    0.833333     0.800000 
    0.833333     0.800000 
    0.825000     0.800000 
    0.816667     0.800000 
    0.833333     0.800000 
    0.841667     0.866667 
    0.875000     0.866667 
    0.875000     0.866667 
    0.883333     0.933333 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.866667 
    0.916667     0.833333 
    0.908333     0.833333 
    0.908333     0.800000 
    0.908333     0.800000 
    0.883333     0.800000 
    0.858333     0.800000 
    0.866667     0.800000 
    0.883333     0.800000 
    0.883333     0.766667 
    0.875000     0.766667 
    0.866667     0.766667 
    0.891667     0.800000 
    0.900000     0.800000 
    0.908333     0.800000 
    0.891667     0.800000 
    0.891667     0.800000 
    0.891667     0.800000 
    0.891667     0.800000 
    0.883333     0.800000 
    0.883333     0.800000 
    0.866667     0.800000 
    0.866667     0.800000 
    0.866667     0.800000 
    0.825000     0.800000 
    0.800000     0.800000 
    0.800000     0.800000 
    0.800000     0.800000 
    0.800000     0.800000 
    0.800000     0.800000 
    0.800000     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.800000 
    0.808333     0.833333 
    0.816667     0.833333 
    0.866667     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.891667     0.833333 
    0.850000     0.833333 
    0.850000     0.833333 
    0.858333     0.833333 
    0.850000     0.833333 
    0.850000     0.833333 
    0.850000     0.833333 
    0.833333     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.833333     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.850000     0.800000 
    0.866667     0.900000 
    0.866667     0.833333 
    0.875000     0.900000 
    0.875000     0.833333 
    0.883333     0.866667 
    0.908333     0.966667 
    0.941667     0.966667 
    0.941667     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.941667     0.966667 
    0.941667     0.933333 
    0.916667     0.933333 
    0.941667     0.933333 
    0.933333     0.966667 
    0.941667     0.966667 
    0.925000     0.966667 
    0.941667     0.966667 
    0.941667     0.966667 
    0.950000     0.966667 
    0.941667     0.966667 
    0.941667     0.966667 
    0.941667     1.000000 
    0.941667     1.000000 
    0.941667     1.000000 
    0.941667     1.000000 
    0.941667     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     0.966667 
    0.941667     0.966667 
    0.941667     1.000000 
    0.933333     1.000000 
    0.933333     1.000000 
    0.933333     1.000000 
    0.933333     1.000000 
    0.925000     0.933333 
    0.916667     0.933333 
    0.900000     0.933333 
    0.908333     0.933333 
    0.900000     0.933333 
    0.900000     0.933333 
    0.900000     0.933333 
    0.900000     0.933333 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.941667     0.966667 
    0.941667     0.966667 
    0.941667     0.966667 
    0.941667     0.933333 
    0.933333     0.933333 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.966667 
    0.933333     0.933333 
    0.925000     0.933333 
    0.925000     0.933333 
    0.950000     0.933333 
    0.950000     0.933333 
    0.950000     0.933333 
    0.950000     1.000000 
    0.950000     1.000000 
    0.950000     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.958333     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.933333 
    0.950000     0.933333 
    0.941667     0.933333 
    0.941667     0.933333 
    0.941667     0.933333 
    0.941667     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.933333     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.966667     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.941667     0.900000 
    0.941667     0.900000 
    0.941667     0.900000 
    0.941667     0.900000 
    0.941667     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.950000     0.900000 
    0.966667     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.958333     1.000000 
    0.933333     0.766667 
    0.741667     0.766667 
    0.741667     0.766667 
    0.741667     0.766667 
    0.741667     0.766667 
    0.750000     0.966667 
    0.916667     0.966667 
    0.916667     0.966667 
    0.916667     0.966667 
    0.916667     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.958333     0.966667 
    0.850000     0.766667 
    0.741667     0.766667 
    0.808333     0.766667 
    0.908333     0.966667 
    0.758333     0.766667 
    0.741667     0.766667 
    0.741667     0.766667 
    0.900000     0.966667 
    0.966667     0.966667 
    0.783333     0.766667 
    0.875000     0.966667 
    0.875000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.875000     0.833333 
    0.941667     1.000000 
    0.916667     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.933333     0.833333 
    0.900000     0.833333 
    0.933333     1.000000 
    0.941667     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.933333     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.858333     0.766667 
    0.741667     0.766667 
    0.741667     0.766667 
    0.741667     0.833333 
    0.783333     0.833333 
    0.791667     0.766667 
    0.741667     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.900000     0.833333 
    0.816667     0.766667 
    0.791667     0.833333 
    0.900000     0.833333 
    0.816667     0.700000 
    0.858333     0.833333 
    0.900000     0.833333 
    0.850000     0.800000 
    0.816667     0.833333 
    0.833333     0.833333 
    0.800000     0.833333 
    0.900000     0.833333 
    0.725000     0.700000 
    0.683333     0.700000 
    0.741667     0.833333 
    0.850000     0.833333 
    0.850000     0.833333 
    0.850000     0.833333 
    0.900000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
    0.975000     1.000000 
