# Train        Test        
   16.848896    16.289935 
   16.822330    16.225085 
   16.805663    16.213369 
   16.978913    16.434802 
   17.075276    16.439751 
   17.058609    16.439751 
   17.041942    16.406418 
   17.063559    16.438919 
   17.035338    16.401137 
   16.989471    16.310718 
   16.805823    16.265670 
   16.854007    16.289102 
   16.845923    16.251278 
   16.804505    16.276031 
   16.858959    16.267946 
   16.810776    16.031961 
   16.765109    16.104728 
   16.785377    16.087808 
   16.790327    16.169160 
   16.743958    16.172332 
   16.758506    16.158547 
   16.699927    16.150715 
   16.740025    16.145766 
   16.784819    16.153851 
   16.778308    16.185445 
   16.785407    16.175798 
   16.609957    15.949058 
   16.656639    16.027516 
   16.610270    16.012171 
   16.616541    15.926856 
   16.606472    15.981969 
   16.520995    15.949956 
   16.543437    15.941870 
   16.529080    15.964808 
   16.530895    15.900213 
   16.511095    15.958538 
   16.528271    15.956977 
   16.498073    15.955402 
   16.545430    15.934439 
   16.477634    15.919347 
   16.508326    15.932017 
   16.437207    15.902280 
   16.444483    15.869442 
   16.426002    15.836122 
   16.404386    15.827287 
   16.404385    15.854350 
   16.441348    15.900705 
   16.468163    15.829358 
   16.404386    15.882583 
   16.401561    15.887623 
   16.364602    15.673164 
   16.347952    15.753092 
   16.366433    15.725218 
   16.354209    15.698155 
   16.344816    15.670028 
   16.344816    15.697570 
   16.341364    15.677769 
   16.310915    15.605828 
   16.295596    15.592642 
   16.296329    15.678842 
   16.194433    15.588141 
   16.180040    15.549619 
   16.163120    15.520169 
   16.234241    15.595166 
   16.195704    15.596726 
   16.186060    15.650464 
   16.183176    15.567145 
   16.235802    15.597837 
   16.166256    15.620669 
   16.175220    15.549575 
   16.193701    15.602201 
   16.116902    15.552711 
   16.162035    15.484739 
   16.147306    15.464922 
   16.132166    15.516031 
   16.123587    15.555044 
   16.151220    15.531618 
   16.103559    15.571541 
   16.174652    15.574436 
   16.177785    15.580109 
   16.182233    15.618385 
   16.124698    15.558361 
   16.074532    15.558637 
   15.950163    15.332130 
   15.863294    15.344419 
   15.857728    15.327031 
   15.949504    15.383960 
   15.946575    15.400640 
   16.016348    15.364773 
   15.988234    15.396171 
   15.979924    15.413542 
   15.945806    15.372447 
   15.954900    15.373160 
   15.891417    15.330794 
   15.912181    15.411295 
   15.896737    15.418807 
   15.915316    15.417473 
   15.943428    15.368380 
